epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,1775.51,1.26823,0.08985,0.14123,0.85692,1.34662,0.99242,1,0.995,0.69578,0.99242,1,0.995,0.995,1.14271,0.07381,0.01988,0.60689,1.2121,0.0008912,0.0008912,0.0008912
30,1836.29,1.24474,0.09721,0.1458,0.79264,1.31694,0.99351,1,0.995,0.71661,0.99351,1,0.995,0.995,1.15894,0.05365,0.01317,0.52396,1.2336,0.0008516,0.0008516,0.0008516
31,1897.17,1.29026,0.07873,0.13498,0.83021,1.34139,0.99365,1,0.995,0.81174,0.99365,1,0.995,0.995,0.86395,0.06174,0.01058,0.4699,1.05599,0.000812,0.000812,0.000812
32,1958.47,1.28644,0.06825,0.14177,0.8475,1.38583,0.99304,1,0.995,0.59838,0.99304,1,0.995,0.995,1.56271,0.03433,0.01323,0.75352,1.56115,0.0007724,0.0007724,0.0007724
33,2020.06,1.25669,0.08029,0.12714,0.7755,1.33517,0.99158,1,0.995,0.58187,0.99158,1,0.995,0.995,1.44538,0.04584,0.02655,0.68877,1.43792,0.0007328,0.0007328,0.0007328
34,2081.47,1.2359,0.07479,0.12824,0.80238,1.34242,0.99145,1,0.995,0.69489,0.99145,1,0.995,0.995,1.21913,0.04224,0.04295,0.51846,1.24083,0.0006932,0.0006932,0.0006932
35,2142.5,1.2504,0.0835,0.11727,0.78898,1.32929,0.99242,1,0.995,0.70119,0.99242,1,0.995,0.995,1.22224,0.05961,0.04498,0.51519,1.25996,0.0006536,0.0006536,0.0006536
36,2203.45,1.16601,0.07428,0.09865,0.7269,1.29408,0.99352,1,0.995,0.66732,0.99352,1,0.995,0.995,1.32702,0.07014,0.03411,0.52861,1.33341,0.000614,0.000614,0.000614
37,2264.4,1.20165,0.07003,0.10923,0.73924,1.30251,0.99336,1,0.995,0.61914,0.99336,1,0.995,0.995,1.47899,0.03492,0.02097,0.55646,1.45751,0.0005744,0.0005744,0.0005744
38,2325.2,1.18455,0.08186,0.11846,0.74446,1.28151,0.99315,1,0.995,0.65077,0.99315,1,0.995,0.995,1.38133,0.0352,0.01698,0.51648,1.39172,0.0005348,0.0005348,0.0005348
39,2386.14,1.15191,0.06905,0.10475,0.71592,1.28733,0.99342,1,0.995,0.62183,0.99342,1,0.995,0.995,1.46992,0.0388,0.01622,0.53194,1.45196,0.0004952,0.0004952,0.0004952
40,2452.48,1.14085,0.07692,0.11937,0.71344,1.26097,0.99352,1,0.995,0.65874,0.99352,1,0.995,0.995,1.26781,0.03386,0.01819,0.49017,1.30975,0.0004556,0.0004556,0.0004556
41,2518.46,1.04753,0.04592,0.0541,0.54336,1.20768,0.99297,1,0.995,0.65287,0.99297,1,0.995,0.995,1.29784,0.03741,0.03702,0.44883,1.3248,0.000416,0.000416,0.000416
42,2582.61,1.02454,0.04268,0.05364,0.52576,1.19032,0.99291,1,0.995,0.6118,0.99291,1,0.995,0.995,1.39958,0.04283,0.01964,0.54582,1.37343,0.0003764,0.0003764,0.0003764
43,2646.74,0.9921,0.04074,0.03424,0.50026,1.18093,0.99312,1,0.995,0.65195,0.99312,1,0.995,0.995,1.33678,0.03127,0.01808,0.52852,1.33681,0.0003368,0.0003368,0.0003368
44,2710.5,0.98758,0.05445,0.05792,0.52016,1.20068,0.99359,1,0.995,0.73125,0.99359,1,0.995,0.995,1.14375,0.03068,0.02779,0.48365,1.20632,0.0002972,0.0002972,0.0002972
45,2772.88,0.98164,0.0464,0.04343,0.49149,1.1599,0.99358,1,0.995,0.72974,0.99358,1,0.995,0.995,1.13995,0.03446,0.02858,0.46113,1.19254,0.0002576,0.0002576,0.0002576
46,2834.67,0.98179,0.04295,0.04052,0.48018,1.16843,0.99321,1,0.995,0.7265,0.99321,1,0.995,0.995,1.18208,0.02885,0.02003,0.47248,1.22445,0.000218,0.000218,0.000218
47,2896.26,0.91384,0.03936,0.03063,0.48126,1.13741,0.9933,1,0.995,0.72199,0.9933,1,0.995,0.995,1.20339,0.02348,0.01493,0.48111,1.2404,0.0001784,0.0001784,0.0001784
48,2960.65,0.92639,0.03933,0.04469,0.47166,1.15434,0.99335,1,0.995,0.65969,0.99335,1,0.995,0.995,1.30782,0.02539,0.01451,0.48821,1.3273,0.0001388,0.0001388,0.0001388
49,3024.66,0.9291,0.03505,0.03763,0.46757,1.15019,0.99335,1,0.995,0.67632,0.99335,1,0.995,0.995,1.25912,0.02408,0.01456,0.46317,1.28316,9.92e-05,9.92e-05,9.92e-05
50,3089.75,0.90122,0.03352,0.0426,0.45756,1.14127,0.99343,1,0.995,0.70662,0.99343,1,0.995,0.995,1.15729,0.02445,0.01404,0.42971,1.20667,5.96e-05,5.96e-05,5.96e-05
