epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7095,2.5511,1.79168,0.73172,4.01864,2.29315,0.31601,0.40645,0.37817,0.16255,0.31601,0.40645,0.41335,0.2685,2.01462,1.06698,0.71483,2.50884,2.01774,4e-05,4e-05,4e-05
2,21.6,2.4017,1.3805,0.70268,2.78778,2.20397,0.98922,0.875,0.955,0.43373,0.96312,0.875,0.98167,0.76105,2.08589,1.04307,0.7194,1.11315,1.89312,9.802e-05,9.802e-05,9.802e-05
3,31.8834,1.99416,1.42696,0.70945,1.53272,1.83165,0.98225,1,0.995,0.51767,0.98225,1,0.995,0.80019,1.87538,1.08906,0.72701,1.13183,1.72686,0.000153664,0.000153664,0.000153664
