epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,290.017,1.35783,0.22244,0.45199,0.78581,1.20554,0.98561,1,0.995,0.71034,0.98561,1,0.995,0.87715,1.04865,0.49797,0.46958,0.70604,1.08658,0.000766432,0.000766432,0.000766432
30,299.713,1.25506,0.22133,0.51698,0.78386,1.2222,0.98807,1,0.995,0.70928,0.98807,1,0.995,0.87363,1.03808,0.47875,0.46524,0.69171,1.09897,0.000757924,0.000757924,0.000757924
31,309.367,1.20587,0.2135,0.41289,0.76241,1.19732,0.98685,1,0.995,0.70938,0.98685,1,0.995,0.89856,1.03998,0.44851,0.45565,0.69604,1.14773,0.00074704,0.00074704,0.00074704
32,319.109,1.18401,0.23262,0.45032,0.7448,1.2387,0.98247,1,0.995,0.74228,0.98247,1,0.995,0.91803,1.04983,0.42862,0.44936,0.74294,1.12451,0.00073378,0.00073378,0.00073378
33,328.922,1.04466,0.21241,0.36404,0.62174,1.12523,0.98247,1,0.995,0.74228,0.98247,1,0.995,0.91803,1.04983,0.42862,0.44936,0.74294,1.12451,0.000718144,0.000718144,0.000718144
34,338.587,1.15548,0.32927,0.48828,0.711,1.26345,0.98254,1,0.995,0.70215,0.98254,1,0.995,0.92064,1.2038,0.43411,0.46041,0.75638,1.20245,0.0006932,0.0006932,0.0006932
35,348.24,1.13613,0.24232,0.50165,0.64856,1.17694,0.97916,1,0.995,0.68516,0.97916,1,0.995,0.92063,1.23278,0.38611,0.4455,0.79287,1.27898,0.0006536,0.0006536,0.0006536
36,358.115,1.00872,0.19534,0.42609,0.59716,1.11767,0.98604,1,0.995,0.75146,0.98604,1,0.995,0.93964,1.05576,0.34898,0.41743,0.60657,1.1582,0.000614,0.000614,0.000614
37,367.918,1.18208,0.18676,0.42525,0.75131,1.36847,0.98604,1,0.995,0.75146,0.98604,1,0.995,0.93964,1.05576,0.34898,0.41743,0.60657,1.1582,0.0005744,0.0005744,0.0005744
38,377.731,1.14705,0.27867,0.48211,0.75578,1.26005,0.98831,1,0.995,0.77805,0.98831,1,0.995,0.93968,0.93656,0.34034,0.39037,0.56699,1.05385,0.0005348,0.0005348,0.0005348
39,387.57,1.11914,0.21563,0.45402,0.6996,1.26587,0.98637,1,0.995,0.81502,0.98637,1,0.995,0.94025,0.91965,0.35822,0.3847,0.57531,1.03101,0.0004952,0.0004952,0.0004952
40,397.498,1.13073,0.25156,0.44077,0.70266,1.22565,0.98394,1,0.995,0.79847,0.98394,1,0.995,0.93615,0.89802,0.37436,0.38647,0.59575,1.0157,0.0004556,0.0004556,0.0004556
41,407.395,0.96443,0.15798,0.27872,0.557,1.0776,0.98394,1,0.995,0.79847,0.98394,1,0.995,0.93615,0.89802,0.37436,0.38647,0.59575,1.0157,0.000416,0.000416,0.000416
42,416.934,1.04176,0.16026,0.24646,0.51093,1.07807,0.9844,1,0.995,0.75421,0.9844,1,0.995,0.95192,0.97902,0.39811,0.40343,0.58867,1.07134,0.0003764,0.0003764,0.0003764
43,426.472,0.95591,0.19999,0.34065,0.52665,1.1533,0.9857,1,0.995,0.74909,0.9857,1,0.995,0.93416,1.0698,0.41505,0.39797,0.56112,1.12467,0.0003368,0.0003368,0.0003368
44,436.103,0.97761,0.2151,0.32638,0.51241,1.14125,0.98889,1,0.995,0.77633,0.98889,1,0.995,0.89916,1.01092,0.42756,0.39245,0.50457,1.05625,0.0002972,0.0002972,0.0002972
45,445.799,0.98763,0.20929,0.25576,0.50297,1.13259,0.98889,1,0.995,0.77633,0.98889,1,0.995,0.89916,1.01092,0.42756,0.39245,0.50457,1.05625,0.0002576,0.0002576,0.0002576
46,455.431,0.94673,0.26148,0.33535,0.48899,1.11182,0.99193,1,0.995,0.80908,0.99193,1,0.995,0.89248,0.95887,0.40273,0.38318,0.48686,1.01362,0.000218,0.000218,0.000218
47,465.036,0.87741,0.16406,0.26123,0.47606,1.07552,0.99261,1,0.995,0.80917,0.99261,1,0.995,0.90114,0.93988,0.39433,0.38359,0.48302,0.99755,0.0001784,0.0001784,0.0001784
48,474.715,0.9372,0.19517,0.28041,0.46691,1.07895,0.99347,1,0.995,0.82256,0.99347,1,0.995,0.88596,0.94443,0.38569,0.38505,0.47364,0.99801,0.0001388,0.0001388,0.0001388
49,484.388,0.8629,0.18998,0.26979,0.44444,1.024,0.99347,1,0.995,0.82256,0.99347,1,0.995,0.88596,0.94443,0.38569,0.38505,0.47364,0.99801,9.92e-05,9.92e-05,9.92e-05
50,494.053,0.92643,0.20957,0.2936,0.41121,1.06359,0.994,1,0.995,0.81049,0.994,1,0.995,0.89215,0.9399,0.3807,0.38705,0.46823,0.99353,5.96e-05,5.96e-05,5.96e-05
